Substrate,Enzyme,Time,alphaNH
30,3,4680,27.032663349320178
30,3,4685,27.037301908666308
30,3,4690,27.045735647582895
30,3,4695,27.054169386499474
30,3,4700,27.060916377632736
30,3,4705,27.072723612115954
30,3,4710,27.08284409881585
30,3,4715,27.091277837732434
30,3,4720,27.1068802517861
30,3,4735,27.1098320574649
30,3,4750,27.11109712124439
30,3,4755,27.112362185023887
30,3,4765,27.113205558915546
30,3,4770,27.11784411237766
30,3,4775,27.122482671723784
30,3,4780,27.128807972969213
30,3,4785,27.13513328009866
30,3,4790,27.137663401773633
30,3,4795,27.142301955235748
30,3,4800,27.146940514581875
30,3,4805,27.15663931139394
30,3,4810,27.159591122956748
30,3,4825,27.162121244631724
30,3,4835,27.16844654587715
30,3,4840,27.17097666755212
30,3,4845,27.175615226898255
30,3,4855,27.183627275926998
30,3,4860,27.189952583056442
30,3,4865,27.1907959569481
30,3,4870,27.20049475376016
30,3,4885,27.203024875435137
30,3,4890,27.20555499711011
30,3,4895,27.208085118785082
30,3,4900,27.216097173697847
30,3,4905,27.216940547589505
30,3,4910,27.224952596618248
30,3,4915,27.22579597050991
30,3,4920,27.23380802542267
30,3,4925,27.240133326668097
30,3,4930,27.255314056717946
30,3,4940,27.257844178392915
30,3,4955,27.262061047851212
30,3,5030,27.26290442174287
30,3,5035,27.270494786767795
30,3,5040,27.27133816065945
30,3,5045,27.277241777901054
30,3,5050,27.27808515179272
30,3,5055,27.286097200821462
30,3,5060,27.292422507950906
30,3,5065,27.307603238000755
30,3,5070,27.321097220267287
30,3,5075,27.3329044547505
30,3,5080,27.352302054258637
30,3,5085,27.361157477179038
30,3,5090,27.370012905983458
30,3,5095,27.382241824470498
30,3,5100,27.394892432845367
30,3,5105,27.407543041220244
30,3,5125,27.40922943001163
30,3,5130,27.41260328457019
30,3,5135,27.419771965591295
30,3,5140,27.42145871337461
30,3,5150,27.423145461157926
30,3,5155,27.424410524937425
30,3,5160,27.427784020504053
30,3,5175,27.43073582618285
30,3,5190,27.433265947857823
30,3,5195,27.435796069532802
30,3,5200,27.436639443424458
30,3,5205,27.440856312882747
30,3,5210,27.441699686774406
30,3,5215,27.448024993903854
30,3,5220,27.448868361911494
30,3,5230,27.44971173580315
30,3,5240,27.45055510969481
30,3,5250,27.45139848358647
30,3,5255,27.457302100828073
30,3,5265,27.46531415574084
30,3,5270,27.475012952552895
30,3,5280,27.479229822011188
30,3,5290,27.485555129140632
30,3,5295,27.489771998598926
30,3,5300,27.501157543194296
30,3,5305,27.50579610254043
30,3,5310,27.51043465600254
30,3,5315,27.51507321534867
30,3,5325,27.516338279128167
30,3,5330,27.517603337023644
30,3,5335,27.520555148586453
30,3,5340,27.526880449831886
30,3,5355,27.531519009178012
30,3,5360,27.532784067073493
30,3,5365,27.53742262641962
30,3,5370,27.542061179881735
30,3,5385,27.54332624366123
30,3,5390,27.546278049340025
30,3,5400,27.55260335646947
30,3,5405,27.558928657714898
30,3,5410,27.561880469277707
30,3,5415,27.57031420819429
30,3,5420,27.582121442677504
30,3,5425,27.592241929377405
30,3,5430,27.60953109121439
30,3,5440,27.620073267802127
30,3,5445,27.62682025893539
30,3,5450,27.640735925205743
30,3,5455,27.653386533580615
30,3,5460,27.66435039417217
30,3,5465,27.668145579626643
30,3,5470,27.67362750698041
30,3,5475,27.67742269243488
30,3,5480,27.681217872005334
30,3,5485,27.688386553026437
30,3,5490,27.693868480380207
30,3,5500,27.69555522816352
30,3,5510,27.700615471513473
30,3,5515,27.703988967080107
30,3,5535,27.705254030859603
30,3,5540,27.706519088755083
30,3,5550,27.709470900317893
30,3,5555,27.71073595821337
30,3,5570,27.7153745175595
30,3,5575,27.72001307102161
30,3,5580,27.720856444913267
30,3,5595,27.72169981880493
30,3,5620,27.7254950042594
30,3,5630,27.734772117067642
30,3,5635,27.74404922987588
30,3,5640,27.75332634268412
30,3,5645,27.759229959925722
30,3,5650,27.765133947006557
30,3,5660,27.778205869546028
30,3,5665,27.789591420025424
30,3,5670,27.79929021683748
30,3,5675,27.81447094688733
30,3,5680,27.824169749583408
30,3,5685,27.837663731849936
30,3,5690,27.85115771411647
30,3,5695,27.85959145303305
30,3,5700,27.873507119303405
30,3,5705,27.876880614870036
30,3,5710,27.881940858219988
30,3,5715,27.88531435378662
30,3,5720,27.892061344919885
30,3,5725,27.900916773724305
30,3,5735,27.902603521507622
